
#-------------------------------------------------------------------------------------------------
# scale type =22-tet, provided type=by tet, intervals=22, f0=440Hz
#-------------------------------------------------------------------------------------------------
#          cents     Δ cents  f ratio   ratio (derived)  fl ratio    abs error    rel error       f (Hz)
#-------------------------------------------------------------------------------------------------
0       0.000000    0.000000  1.000000  1                1.000000   0.00000000   0.00000000 |   61.740 |   82.410 |  110.000 |  146.830 |  196.000 |  261.630 |  329.630 |  392.000 |  523.250
1      54.545455   54.545455  1.032008  22/21            1.047619  -0.01561077  -1.51265917 |   63.716 |   85.048 |  113.521 |  151.530 |  202.274 |  270.004 |  340.181 |  404.547 |  539.998
2     109.090909   54.545455  1.065041  16/15            1.066667  -0.00162558  -0.15263047 |   65.756 |   87.770 |  117.155 |  156.380 |  208.748 |  278.647 |  351.069 |  417.496 |  557.283
3     163.636364   54.545455  1.099131  11/10            1.100000  -0.00086878  -0.07904219 |   67.860 |   90.579 |  120.904 |  161.385 |  215.430 |  287.566 |  362.307 |  430.859 |  575.120
4     218.181818   54.545455  1.134313  17/15            1.133333   0.00097919   0.08632443 |   70.032 |   93.479 |  124.774 |  166.551 |  222.325 |  296.770 |  373.903 |  444.651 |  593.529
5     272.727273   54.545455  1.170620  7/6              1.166667   0.00395325   0.33770552 |   72.274 |   96.471 |  128.768 |  171.882 |  229.442 |  306.269 |  385.871 |  458.883 |  612.527
6     327.272727   54.545455  1.208089  23/19            1.210526  -0.00243687  -0.20171283 |   74.587 |   99.559 |  132.890 |  177.384 |  236.786 |  316.072 |  398.223 |  473.571 |  632.133
7     381.818182   54.545455  1.246758  5/4              1.250000  -0.00324169  -0.26000955 |   76.975 |  102.745 |  137.143 |  183.062 |  244.365 |  326.189 |  410.969 |  488.729 |  652.366
8     436.363636   54.545455  1.286665  9/7              1.285714   0.00095061   0.07388189 |   79.439 |  106.034 |  141.533 |  188.921 |  252.186 |  336.630 |  424.123 |  504.373 |  673.247
9     490.909091   54.545455  1.327849  4/3              1.333333  -0.00548451  -0.41303688 |   81.981 |  109.428 |  146.063 |  194.968 |  260.258 |  347.405 |  437.699 |  520.517 |  694.797
10    545.454545   54.545455  1.370351  26/19            1.368421   0.00192993   0.14083487 |   84.605 |  112.931 |  150.739 |  201.209 |  268.589 |  358.525 |  451.709 |  537.178 |  717.036
11    600.000000   54.545455  1.414214  24/17            1.411765   0.00244886   0.17316030 |   87.314 |  116.545 |  155.563 |  207.649 |  277.186 |  370.001 |  466.167 |  554.372 |  739.987
12    654.545455   54.545455  1.459480  19/13            1.461538  -0.00205836  -0.14103350 |   90.108 |  120.276 |  160.543 |  214.295 |  286.058 |  381.844 |  481.088 |  572.116 |  763.673
13    709.090909   54.545455  1.506196  3/2              1.500000   0.00619555   0.41133790 |   92.993 |  124.126 |  165.682 |  221.155 |  295.214 |  394.066 |  496.487 |  590.429 |  788.117
14    763.636364   54.545455  1.554406  14/9             1.555556  -0.00114927  -0.07393651 |   95.969 |  128.099 |  170.985 |  228.233 |  304.664 |  406.679 |  512.379 |  609.327 |  813.343
15    818.181818   54.545455  1.604160  8/5              1.600000   0.00416015   0.25933526 |   99.041 |  132.199 |  176.458 |  235.539 |  314.415 |  419.696 |  528.779 |  628.831 |  839.377
16    872.727273   54.545455  1.655507  33/20            1.650000   0.00550656   0.33262084 |  102.211 |  136.430 |  182.106 |  243.078 |  324.479 |  433.130 |  545.705 |  648.959 |  866.244
17    927.272727   54.545455  1.708496  29/17            1.705882   0.00261412   0.15300727 |  105.483 |  140.797 |  187.935 |  250.859 |  334.865 |  446.994 |  563.172 |  669.731 |  893.971
18    981.818182   54.545455  1.763183  37/21            1.761905   0.00127775   0.07246828 |  108.859 |  145.304 |  193.950 |  258.888 |  345.584 |  461.301 |  581.198 |  691.168 |  922.585
19   1036.363636   54.545455  1.819619  20/11            1.818182   0.00143713   0.07897977 |  112.343 |  149.955 |  200.158 |  267.175 |  356.645 |  476.067 |  599.801 |  713.291 |  952.116
20   1090.909091   54.545455  1.877862  15/8             1.875000   0.00286182   0.15239787 |  115.939 |  154.755 |  206.565 |  275.726 |  368.061 |  491.305 |  619.000 |  736.122 |  982.591
21   1145.454545   54.545455  1.937969  31/16            1.937500   0.00046895   0.02419790 |  119.650 |  159.708 |  213.177 |  284.552 |  379.842 |  507.031 |  638.813 |  759.684 | 1014.042
22   1200.000000   54.545455  2.000000  2                2.000000   0.00000000   0.00000000 |  123.480 |  164.820 |  220.000 |  293.660 |  392.000 |  523.260 |  659.260 |  784.000 | 1046.500
#-------------------------------------------------------------------------------------------------
# Scala file written: results/tet/22-tet/22-tet.scl
# derived ratios: [1, 22/21, 16/15, 11/10, 17/15, 7/6, 23/19, 5/4, 9/7, 4/3, 26/19, 24/17, 19/13, 3/2, 14/9, 8/5, 33/20, 29/17, 37/21, 20/11, 15/8, 31/16, 2]
# derived  cents: [0.0, 54.54545454545455, 109.0909090909091, 163.63636363636363, 218.1818181818182, 272.72727272727275, 327.27272727272725, 381.8181818181818, 436.3636363636364, 490.90909090909093, 545.4545454545455, 600.0, 654.5454545454545, 709.0909090909091, 763.6363636363636, 818.1818181818182, 872.7272727272727, 927.2727272727273, 981.8181818181819, 1036.3636363636365, 1090.909090909091, 1145.4545454545455, 1200.0]
# derived  cents: sha256:16b45a754ed671bbbc0a88c3f13360e0e65934ac993e63fc49bd676936c85979
#-------------------------------------------------------------------------------------------------
