
#-------------------------------------------------------------------------------------------------
# scale type =5-tet, provided type=by tet, intervals=5, f0=440Hz
#-------------------------------------------------------------------------------------------------
#          cents     Δ cents  f ratio   ratio (derived)  fl ratio    abs error    rel error       f (Hz)
#-------------------------------------------------------------------------------------------------
0       0.000000    0.000000  1.000000  1                1.000000   0.00000000   0.00000000 |   61.740 |   82.410 |  110.000 |  146.830 |  196.000 |  261.630 |  329.630 |  392.000 |  523.250
1     240.000000  240.000000  1.148698  5/4              1.250000  -0.10130165  -8.81882041 |   70.921 |   94.664 |  126.357 |  168.663 |  225.145 |  300.534 |  378.645 |  450.290 |  601.056
2     480.000000  240.000000  1.319508  4/3              1.333333  -0.01382542  -1.04777110 |   81.466 |  108.741 |  145.146 |  193.743 |  258.624 |  345.223 |  434.949 |  517.247 |  690.433
3     720.000000  240.000000  1.515717  3/2              1.500000   0.01571657   1.03690669 |   93.580 |  124.910 |  166.729 |  222.553 |  297.080 |  396.557 |  499.626 |  594.161 |  793.099
4     960.000000  240.000000  1.741101  7/4              1.750000  -0.00889887  -0.51110606 |  107.496 |  143.484 |  191.521 |  255.646 |  341.256 |  455.524 |  573.919 |  682.512 |  911.031
5    1200.000000  240.000000  2.000000  2                2.000000   0.00000000   0.00000000 |  123.480 |  164.820 |  220.000 |  293.660 |  392.000 |  523.260 |  659.260 |  784.000 | 1046.500
#-------------------------------------------------------------------------------------------------
# Scala file written: results/tet/5-tet/5-tet.scl
# derived ratios: [1, 5/4, 4/3, 3/2, 7/4, 2]
# derived  cents: [0.0, 240.0, 480.0, 720.0, 960.0, 1200.0]
# derived  cents: sha256:6aecf54657e156cf782e56b9d724358e8f6200cdec7d99e374e2502c9d2bc3dd
#-------------------------------------------------------------------------------------------------
