
#-------------------------------------------------------------------------------------------------
# Type=equal temperament intervals, Number of intervals=17, keywords=TET,ET,EDO
#-------------------------------------------------------------------------------------------------
#       cents  Δ cents  f ratio   ratio (derived)  fl ratio       aerror       rerror       f (Hz)
#-------------------------------------------------------------------------------------------------
0       0.000    0.000  1.000000  1                1.000000   0.00000000   0.00000000   440.000000
1      70.588   70.588  1.041616  18/17            1.058824  -0.01720752  -1.65200214   458.311045
2     141.176   70.588  1.084964  13/12            1.083333   0.00163058   0.15028890   477.384122
3     211.765   70.588  1.130116  17/15            1.133333  -0.00321755  -0.28470976   497.250945
4     282.353   70.588  1.177147  20/17            1.176471   0.00067611   0.05743597   517.944545
5     352.941   70.588  1.226135  11/9             1.222222   0.00391262   0.31910202   539.499331
6     423.529   70.588  1.277162  14/11            1.272727   0.00443441   0.34720829   561.951141
7     494.118   70.588  1.330312  4/3              1.333333  -0.00302128  -0.22711026   585.337306
8     564.706   70.588  1.385674  18/13            1.384615   0.00105895   0.07642159   609.696709
9     635.294   70.588  1.443341  13/9             1.444444  -0.00110387  -0.07648004   635.069854
10    705.882   70.588  1.503407  3/2              1.500000   0.00340665   0.22659564   661.498928
11    776.471   70.588  1.565972  25/16            1.562500   0.00347244   0.22174344   689.027874
12    847.059   70.588  1.631142  18/11            1.636364  -0.00522167  -0.32012354   717.702465
13    917.647   70.588  1.699024  17/10            1.700000  -0.00097641  -0.05746898   747.570379
14    988.235   70.588  1.769730  23/13            1.769231   0.00049940   0.02821916   778.681276
15   1058.824   70.588  1.843379  24/13            1.846154  -0.00277456  -0.15051511   811.086884
16   1129.412   70.588  1.920093  25/13            1.923077  -0.00298355  -0.15538564   844.841084
17   1200.000   70.588  2.000000  2                2.000000   0.00000000   0.00000000   880.000000
#-------------------------------------------------------------------------------------------------
# derived ratios: [1, 18/17, 13/12, 17/15, 20/17, 11/9, 14/11, 4/3, 18/13, 13/9, 3/2, 25/16, 18/11, 17/10, 23/13, 24/13, 25/13, 2]
# derived  cents: sha256:254600431d353d47c838db2136d84bdaffb4409cdb827d7e42cf595b73339e31
#-------------------------------------------------------------------------------------------------
