
#-------------------------------------------------------------------------------------------------
# scale type =79-tet, provided type=by tet, intervals=80, f0=440Hz
#-------------------------------------------------------------------------------------------------
#          cents     Δ cents  f ratio   ratio (derived)  fl ratio    abs error    rel error       f (Hz)
#-------------------------------------------------------------------------------------------------
28    425.316456   15.189873  1.278481  78/61            1.278689  -0.00020783  -0.01625573 |   78.933 |  105.360 |  140.633 |  187.719 |  250.582 |  334.489 |  421.426 |  501.164 |  668.965
29    440.506329   15.189873  1.289747  89/69            1.289855  -0.00010761  -0.00834352 |   79.629 |  106.288 |  141.872 |  189.374 |  252.791 |  337.437 |  425.139 |  505.581 |  674.860
30    455.696203   15.189873  1.301114  95/73            1.301370  -0.00025635  -0.01970215 |   80.331 |  107.225 |  143.122 |  191.042 |  255.018 |  340.410 |  428.886 |  510.036 |  680.808
31    470.886076   15.189873  1.312580  21/16            1.312500   0.00007973   0.00607459 |   81.039 |  108.170 |  144.384 |  192.726 |  257.266 |  343.410 |  432.666 |  514.531 |  686.807
32    486.075949   15.189873  1.324147  49/37            1.324324  -0.00017732  -0.01339162 |   81.753 |  109.123 |  145.656 |  194.425 |  259.533 |  346.437 |  436.479 |  519.066 |  692.860
33    501.265823   15.189873  1.335816  103/77           1.337662  -0.00184613  -0.13820274 |   82.473 |  110.085 |  146.940 |  196.138 |  261.820 |  349.490 |  440.325 |  523.640 |  698.966
34    516.455696   15.189873  1.347588  31/23            1.347826  -0.00023784  -0.01764960 |   83.200 |  111.055 |  148.235 |  197.866 |  264.127 |  352.570 |  444.206 |  528.255 |  705.126
35    531.645570   15.189873  1.359464  87/64            1.359375   0.00008903   0.00654856 |   83.933 |  112.033 |  149.541 |  199.610 |  266.455 |  355.677 |  448.120 |  532.910 |  711.340
36    546.835443   15.189873  1.371444  48/35            1.371429   0.00001589   0.00115885 |   84.673 |  113.021 |  150.859 |  201.369 |  268.803 |  358.811 |  452.069 |  537.606 |  717.608
37    562.025316   15.189873  1.383530  101/73           1.383562  -0.00003116  -0.00225230 |   85.419 |  114.017 |  152.188 |  203.144 |  271.172 |  361.973 |  456.053 |  542.344 |  723.932
38    577.215190   15.189873  1.395723  67/48            1.395833  -0.00011032  -0.00790437 |   86.172 |  115.022 |  153.530 |  204.934 |  273.562 |  365.163 |  460.072 |  547.123 |  730.312
39    592.405063   15.189873  1.408023  107/76           1.407895   0.00012825   0.00910845 |   86.931 |  116.035 |  154.883 |  206.740 |  275.973 |  368.381 |  464.127 |  551.945 |  736.748
40    607.594937   15.189873  1.420431  98/69            1.420290   0.00014150   0.00996187 |   87.697 |  117.058 |  156.247 |  208.562 |  278.405 |  371.627 |  468.217 |  556.809 |  743.241
41    622.784810   15.189873  1.432949  96/67            1.432836   0.00011326   0.00790375 |   88.470 |  118.089 |  157.624 |  210.400 |  280.858 |  374.902 |  472.343 |  561.716 |  749.791
42    637.974684   15.189873  1.445577  107/74           1.445946  -0.00036883  -0.02551462 |   89.250 |  119.130 |  159.013 |  212.254 |  283.333 |  378.206 |  476.506 |  566.666 |  756.398
43    653.164557   15.189873  1.458316  35/24            1.458333  -0.00001690  -0.00115886 |   90.036 |  120.180 |  160.415 |  214.125 |  285.830 |  381.539 |  480.705 |  571.660 |  763.064
44    668.354430   15.189873  1.471168  103/70           1.471429  -0.00026055  -0.01771043 |   90.830 |  121.239 |  161.828 |  216.012 |  288.349 |  384.902 |  484.941 |  576.698 |  769.789
45    683.544304   15.189873  1.484133  95/64            1.484375  -0.00024213  -0.01631491 |   91.630 |  122.307 |  163.255 |  217.915 |  290.890 |  388.294 |  489.215 |  581.780 |  776.573
46    698.734177   15.189873  1.497212  3/2              1.500000  -0.00278804  -0.18621523 |   92.438 |  123.385 |  164.693 |  219.836 |  293.454 |  391.716 |  493.526 |  586.907 |  783.416
47    713.924051   15.189873  1.510406  74/49            1.510204   0.00020224   0.01338983 |   93.252 |  124.473 |  166.145 |  221.773 |  296.040 |  395.168 |  497.875 |  592.079 |  790.320
48    729.113924   15.189873  1.523717  32/21            1.523810  -0.00009257  -0.00607496 |   94.074 |  125.570 |  167.609 |  223.727 |  298.649 |  398.650 |  502.263 |  597.297 |  797.285
49    744.303797   15.189873  1.537145  83/54            1.537037   0.00010786   0.00701686 |   94.903 |  126.676 |  169.086 |  225.699 |  301.280 |  402.163 |  506.689 |  602.561 |  804.311
50    759.493671   15.189873  1.550691  107/69           1.550725  -0.00003347  -0.00215829 |   95.740 |  127.792 |  170.576 |  227.688 |  303.935 |  405.707 |  511.154 |  607.871 |  811.399
51    774.683544   15.189873  1.564357  97/62            1.564516  -0.00015931  -0.01018365 |   96.583 |  128.919 |  172.079 |  229.695 |  306.614 |  409.283 |  515.659 |  613.228 |  818.550
52    789.873418   15.189873  1.578143  101/64           1.578125   0.00001790   0.00113435 |   97.435 |  130.055 |  173.596 |  231.719 |  309.316 |  412.890 |  520.203 |  618.632 |  825.763
